Document	Raw	grade
AR-130-84660	التواصل الاجتماعي لها دور كبير على الفرد و المنجتمع منها اجابيه و منها سلبية ، وعلى الانسان ان يكون حذر مما يطلع عليه وايضا ما ينشر يبن متابعينه مهما كانو عددهم لان كل شي له اثر على الاشخاص الذين سوف يطلعو عليه، من الاجابيات هي مثلا بلا وسائل التواصل الاجتماعية ما كان لدينا القدرة على انه نعرف ان غابة الامزون حاليا تحترق و هذه الغابه هي مصدر٢٠٪ من الاكسيجين لنا كبشر على الارض، لان الاخبار لن تعلن عن هذه الضاهره و من الوسائل الاجتماعي عرفنا و في مجموع من الناس جمعو مبالغ لكي يساعدو في هذه المشكله، و لكن الاسائل التواصل الاجتماعي اثر سيء مثلا في احد مشهور و له الاف المتابعين و نشر شي خطأ و كل الناس شافو في هذه الحاله .سيكون هناك مشاكل لان هذا الانسان قدوه لغيره، واخيرا مثل كل شي الوسائل التواصل الاجتماعي لها اجابياتها و سلبياتها لعل الانسان يكون حذر على ما يعمل	B1
AR-130-84687	.يختلف آراء الجميع عن التواصل الإجتماعي بسبب كثرة تآثيراته السلبية والإيجابة فالتواصل الإجتماعي يفتح أبوب جديدة للتواصل بين أفراد المجتمع ولكن من الممكن أن تتجه هذه الأبواب إلى طرة مضرة من غير التوعية عن أخطارها.	B1
AR-130-84846	ما هي وسائل التواصل الإجتماعي ؟ هي مواقع تعمل على شبكة الإنترنت لكي يحضى الشخص بسهولة التواصل مع الأقارب و الأصدقاء و للبحث عن معلومةٍ ما ، و لمشاهدة الأفلام و الأخبارمن المواقع المعروفة هي اليوتيوب ، السناب شات، الانستقرام، فيسبوك، الوآتس آب، و غيرها الكثير لوسائل التواصل الاجتماعي أثر كبير على الفرد و المجتمع فمنها آثار سلبية و منها آثار إيجابية. فمن الآثار الإيجابية هي سهولة نشر النصائح من خلالها لتوعية المجتمع عن أمر ما أو للبحث عن أمر ما. و لكن الاآثار السلبية تغلبالآثارالإيجابية لأنها تنشر الفتنة و البغضاء و الكراهية بين أفراد المجتمع من خلال نشر الشائعات، و من الآثار السلبية كذلك هو التقليد الأعمى للمشاهير سواءً كانوا عرب أو أجانب في طريقة ارتداء الملابس أو صرف مبالغ كبيرة لشراء حقيبة أو قلاذة تقدر بعشرات الآلاف لكي فقط يراها الناس. و لوسائلالتواصل الإجتماعي دور كبير في تدمير الأسر و تشتيتها من خلال التأثير على عقول المراهقين و أولياء الأمور كذلك في النهاية، لوسائل التواصل الإجتماعي آثار كثيرة فهي لا تعد ولا تحصى فبعضها إيجابية و بعضها سلبية و لكن على أفراد المجتمع توقي الحذر من مخاطرها لكي لا يندموا فالمستقبل.	B2
AR-130-85294	"منذ دخلت وسائل التواصل الاجتماعي حياتنا غيرت مجرى أغلب الأمور، ولم يقتصر هذا التغيير على فئة معينة من المجتمع بل على جميع طبقاته وأصنافه ككل. بدأ انتشارها كوباء سريع لتصل في غضون أشهر الى مستوى الضروريات بدل من ان تكون من الرفاهيات. كان الهدف المبدأي منها وكما يوضح الأسم ""التواصل"" ولكن لم تقتصر هذه البرامج على ذلك لتصبح الآن وظيفة ومصدر دخل للعديد من الأسر، فمنهم من استخدمها للتجارة ومنهمم من استخدمها للتسويق. بالنسبة الى تأثير وسائل التواصل الاجتماعي على الفرد فلذلك العديد من النواحي والمتغيرات، هناك من يمضي جل يومه على مالا يفيد ليصل الى درجة الادمان وهناك من يستثمر وقته فيها فيما يعود على نفسه بنفع. قد تكون مواقع التواصل الاجتماعي وسيلة فعالة للتعلم في العديد من المجالات، كما أنها منصة تساعد في حل المشاكل إذ أن الأفراد يستطيعون مشاركة وتبادل الآراء والتجارب. في المقابل قد تكون هذه وسيلة لخلق المشاكل، فترى من جالت له نفسه ليفرق بين أصدقاء وعائلات او يستخدمها للسرقة او اي أعمال سيئة فليس لهذا الباب حدود. عد تغلغل مواقع التواصل الاجتماعي الى جميع اوصال المجتمع وانغماسه فيه تغير تكوينه بشكل كامل، لم تعد المجتمعات مترابطة بالشكل الذي كانت عليه من قبل، أصبح التزاور امراً نادراً للعديدين وأصبح التواصل وهمياً من خلف الشاشات. ومن وجهة نظر أخرى، ساعدت مواقع التواصل الاجتماعي في جعل العالم مكان أصغر حيث عملت على تقريب القارات والقلوب ليصبح من السهل التعرف على مختلف الثقافات والاستفاده منها. بشكل آخر، لقد تفكك المجتمع الداخلي وتخللته بعض الفجوات ليشكل مجتمعاً أكبر عالمي مترابط بخيوط دقيقة لا ترى."	C1
AR-130-85331	تشهد دولة الامارات العرية المتحدة تطور كبير من ناحيه الحضاره ، وذلك يعود لمؤسس هذه الدولة الرائده الشيخ زايد بن صلطان رحمه الله و اسكنه فسيح جناته فبقوة اصراره و عزيمته و احلامه حول هذه الصحراء القاحلة الصفراء الى جنه مزدهرة خضراء .كانت حضاره دولة الامارات تعتمد على البساطة وقد تغير كل شيء فور اكتشاف حقول البترول التي ساهمت و بشكل كبير في تنمية الدولة بشكل اقتصادي و حضاري . فقد اصبحت دولة الامارات العربية المتحدة دوله رائدة في شتى المجالات و لم تكتفي بذالك بل سعت الدوله الى طلب و تحقيق المستحيل و ارتقت طموحاتها الى ان تكون داءما الافضل في جميع المجالات من ما ادا الى نمو حضارتها و تطورها عن باقي الدول بعقود .و في الخاتمه نوجه شكر كبير لوالد هذه الدوله العظيمه الشيخ زايد بن صلطان رحمه الله و لحكام الامارات السبع على جهودهم في تنميه و ترقيه هذه الدوله التي اصبحت علما يرفرف به كل انسان على هذه الارض و مصدر فخر للانسانية .	B2
AR-130-85466	أين ما ذهبت سترى الناس بيدهم أحد أخطر الأشياء في ايديهم: الهاتف المحمول،. قد يبدو كشىء عادي ولكن ما في الهاتف يضر المجتمع والأفراد أيضاً. للأسف يعتمد هاذا الجيل على مواقع التواصل الأجتماعية، من حيث يقومون بتقليد الموضات الحديثة السيئة وغير المحرمة التي تؤدي المجتمع إلي الفساد والتهور. كثرة استخدام الناس لهذه الببرامج سببت في التفكك الأسري والتوحد بسبب استخدام الفرد له لأكثر من ثمانية ساعات. التوحد والإنعزال الذي يغرق فيه المستخدم لا مفر منه لأنه إذا استمر، قد يصبح مريضاً نفسي وغير ناجح في حياته الإجتماعية. زادت هذه البرامج نسبة التنمر بين المراهقين مما ادى إلى الإكتئاب و بعد ذلك الأنتحار. تقوم وسائل التواصل الإجتماعية بإعطاء الناس صورة خاطئة عن الحياة السعيدة، فتؤدي الفرد إلى الأختباء وراء قناع ويتنكر، و يزيد الكراهية حين لا يحصل على ما حصل عليه غيره قد تكون لها أضرار، ولكن ساعدت العائلات في التواصل عند بعد المسافات و تساعد الناس على معرفة عادات وتقاليد دول أخرى. كن ذكي بما تفعله بوقت، فالوقت كالسيف.	B1
AR-130-85828	التطور الحضاري في دوله الامارات دوله الامارات تتتطور بشكل كبير كل عشر سنين و هيه من اكثر الدول التي تطورت في العالم و تطور في اشيا مثل المستشفيات و المدارس و الاهتمام في النظافه و الامان و هي و يتوفر جميع الاشيا للناس الي من خارج الدوله و و ايضا يتطور في علم اللغات مثلا من خمس شهور طلع قرار تعليم اللغه الصينيه في اغلب المدارس و هذا شي جميل و الذي نلاحضه انه الفرق بين كل جيل فرق كبير و تطور كبير في الكلام و الثقافه و ايضا في تفكيرهم و في كل سنه الامارات تطور لو في شي واحد مثلا	B1
AR-130-86032	وسائل التواصل الاجتماعي .كلنا نعلم بأن في العصر الحالي مجتمعنا مهووس بوسائل التواصل الاجتماعي، ولكن هذا الهوس أصبح يهددنا كأفراد و كمجتمع، أصبحت تشمل حياتنا اليومية، تأخذ من وقتنا بالساعات، تشغلنا عن العالم الحقيقي، ولذلك اليوم سأتحدث عن وسائل التواصل الإجتماعي و تأثيرها على الفرد و المجتمع أولا،سأتحدث عن إيجابيات وسائل التواصل الإجتماعي، لأن في النهاية، وسائل التواصل الاجتماعي لها غرض لمساعدتنا في التعرف على دول أخرى، و تسنح لنا فرصة للتواصل مع أصدقائنا و عائلتنا بطريقة سهلة و سريعة ،أيضاً نستطيع أن نتعلم و نرى ما يحصل حولنا في العالم ، و أخيراً، إنها طريقة ممتعة لتمضية وقت الفراغ. لكن مع ذلك،تحولت هذه الوسائل الى مشكلة في مجتمعنا، سببت هوس و مشاكل بيننا و بين مجتمعات أخرى، منها الفساد و مشاكل بين أفراد المجتمع، أصبحت مضيعة للوقت من كثرة تمضية الوقت فيها، و أيضاً سببت مشاكل نفسية و بدنية للأفراد، منها الكآبة و الحزن و الانعزال عن الآخرين، وبدنياً البقاء في مكان واحد لساعات عديدة و قلة النوم من كثرة استخدامها. بعد ما تحدثنا عن إيجابيات و سلبيات وسائل التواصل الاجتماعي، يجب أن نتوصل إلى حل يرضي الكل، أولاً، يجب على كل فرد وضع منبه أو وقت محدد يسنح له باستخدام وسائل التواصل الاجتماعي،و بذلك وضع له حد لاستخدام وسائل التواصل الاجتماعي، أيضاً يستطيع أن يأخذ يوم أو يومين عن وسائل التواصل الاجتماعي ليساعده على تطهير ذهنه عنها، و أخيراً يضع لنفسه خطة لليوم و يقضيه مع أشخاص مقربين لتفادي أستخدام وسائل التواصل الاجتماعي و يكون تواصله مع الأشخاص في العالم الحقيقي. في النهاية،أود ان اقول ان وسائل التواصل الاجتماعي قد يكون تأثيرها إيجابي أو سلبي، فلا تفرط في أستخدامها و أستخدمها لغرض معين أو لوقت محدد حتى لا تتعرض للهوس، عش حياتك و ركز على حياتك الحقيقية،و ليست التي في وسائل التواصل الاجتماعي.	B2
AR-130-86741	التسامح من أهم الأشياء التي تجعل المجتمع متماسك و يجعل الناس محترمين مع بعضهم البعض حتى أن كانوا من دول مختلفة تماماّ، فأن الامارات العربية المتحدة أصبحت أن ترخس محتوى التسامح في التي عقول الناس بطرق مثل مجئ البابا فرانسس و أن المرأة أصبحت من رموز التسامح و هي من الفئات التي ترخس معنى التسامح عند المجتمع فالامارات تسير على مذهب الشيخ زايد رحمه الله في كل شيء عمله فعلينا أن نتحدث عن مذاهب الشيخ زايد في التسامح في كل الأماكن التي تكثر فيها الناس مثل المطارات و الشوارع المزدحمة و المراكز التجارية و أيضا نقدر على أن نعلم طلاب المدارس عن التسامح لأنه من أهم الأشياء الذي يساعد على ازدهار و تماسك المجتمع فكل شخص يحس بأن هو لديه مكان في المجتمع و أن صوته سينسمع.	B1
AR-130-86817	وسائل التواصل الإجتماعي تنتشر الأخبار وكل جديد يحدث في كل مكان خلال ثواني عن طريق وسائل التواصل الاجتماعي المتنوعة وذلك يؤثر على الأفراد والمجتمعات والشعوب، وبما أن لكل شيء إيجابيات وسلبيات ف ذلك ينطبق على هذه الوسائل أيضا ، لذلك يجب علينا أن نتعلم الطريقة الصحيحة لإستخدامها وكيفة عدم الوقوع في الخطأ. يمكن للفرد أن يستفيد من مواقع التواصل الإجتماعي بشكل كبير، ف مثلا الطلاب يستخدمون برنامج (الواتساب ) ليسهل التواصل فيما بينهم عند العمل بشكل مجموعات لمشاريع معينة ، بالإضافة إلى وجود قنوات وصفحات التي تقوم بشرح المواد لجميع المراحل الدراسية . يمكن للفرد أيضا أن يستفيد من خبرات الناس المتوفرة على مواقع التواصل الإجتماعي ، فقبل شراء منتج معين يمكن البحث عن اضراره وهل هو فعال أم لا؟ ، كل هذه الإيجابيات سيتملكها الفرد الذي يستخدم مواقع التواصل الإجتماعي بحكمة ويأخذ ما يحتاج منها ويترك ما يضره ، فهذا يساعد على نمو الفرد وكسب الكثير من المعلومات بطريقة سهلة وسريعة . بالنسبة إلى المجتمع فهو عنصر رئيسي لتحريك وسائل التواصل الاجتماعي فاحيانا تكون نقل ثقافات المجتمع من خلال هذه البرامج يكون مسليا ولطيف يمكنك من الانتقال بين الشعوب بضغطة زر ، وهذا يساعد في تنمية المجتمعات والتكافل الإجتماعي ، في حين أن بعض المجتمعات لا تستخدم هذه الوسائل بطريقة صحيحة وتتعرض للخطر من مجتمعات اخرى وهذا ما يؤدي إلى تفكك المجتمعات بطرق غير متوقعة . تعتمد الكثير من الأمور على مواقع التواصل الإجتماعي ، ولذلك تعتبر من أهم المؤثرات على عصرنا الحالي وعصورنا القادمة ، فالنتعلم معا كيف نكون أشخاص فعالين ونستفيد من بعضنا البعض باستخدام هذه .الوسائل ليزدهر عالمنا الجميل	B2
AR-130-87139	التواصل الإجتماعي له تأثير شديد على المجتمع و منها آثار سلبية و إيجابية عديدة . ولذالك يجب على الإنسان الحذر من المواقع التي تذلف العقل ويتقربون من المواقع المفيدة و الإيجابية	A2
AR-130-87491	ما يميز عصرنا هاذا هو انتشار وسائل التواصل الاجتماعي في المجتمع بشكل رهيب واهميته عند المجتمع. هناك كثير انواع من التواصل الاجتماعي واشهرهم هم فيسبوك، انستقرام، سناب جات و تويتر. وسال التواصل الاجتماعي مشهوره و مهمه عند المجتمع للعديد من الاسباب منها انها تساعد علا التواصل مع الناس، توصل لك الاخبار المهمه التي تجري حول العالم و المزيذ.مثل كل شي شاع في المجتمع، وسال التواصل الاجتماعي لدي ايجابياته وسلبياته. من ايجابيات التواصل الاجتماعي انها تجعلك ان تتواصل مع أي شخص في أي وقت وفي أي دوله بسهوله و هاكذا ليس فقت تجعلك ان تتواصل مع أصدقاك بل بامكانك ان تتعرف علا أصدقاء جدد.وسائل التواصل الأجتماعي قد أيضا تمهل لك فرص عمل ومن خلالها تصتطيع ان تتعلم و تدرس وأيضا تشتري. من سلبيات وسائلال التواصل الأجتماعي انها قد تؤدي إلا الأنعزال، لأن كثره استعمالها تبعد عقل الشخص عن الواقع وبهاكذا يصبح الشخص معتمد علا التواصل الاأجتماعي في كل شيء. ومن اهم سلبيات التواصل الأجتماعي انها قد تكون خطيره جدا، من خلالها يستطيع شخص يهكر هاذه الوسائل وهاكذا يملك هذا الشخص كل المعلومات الخاصه فيك: اسمك الكامل،عنوان منزلك، صورك الشخصيه وبطاقه البنك. وسائل التواصل الأجتماعي قد تكون نافعه جدا للمجتمع و الفرد ولاكن يجب يكون استعمالها بدقه و حساب كي لا تضر. فأنصح الجميع أن لا ينشر معلواته الخاصه ولا يكثر استعمالها وأحث على طلب العلم من خلاله و يثقف و يزيد مهاراته.	B1
AR-130-87760	وسائل التواصل الاجتماعي انتشرت في الآونة الأخيرة من القرن الحادي و العشرين و باتت وسيلة لا يستغني عنها الملايين من الناس. السؤال المحير هو هل هذه الوسائل الإجتماعية نعمة أم نقمة؟ بالحقيقة هي سلاح ذو حدين و تعتمد طريقة استخدام الشخص لهذه الوسائل علي النتائج التي سيتلقاها. فيستطيع مروج المخدرات أن ينشر الفساد و الفتن في المجتمع من خلال إنشاء حساب خاص به في إحدى وسائل التواصل الإجتماعي، و يستطيع المحافظ على البيئة أن ينشر الوعي عن طرق صون البيئة و الحفاظ عليها من خلال هذه الوسائل الإجتماعية أيضاً. أصبحت الوسائل الإجتماعية جزء من روتين كل شخص في يومنا الحالي فعند استيقاظه من النوم يبدأ بتصفح هذه الوسائل ليطمئن على حسابه متابعينه. تشكل هذه الوسائل خطورة كبيرة للآطفال ايضاً، فأصبح الطفل ينشأ حسابه الخاص الذي ليس بالضرورة أن يكون مراقباً من قِبل أحد والديه. لربما يكون الطفل مطلعاً على الصفحات الخاطئة أو التي لا تناسب عمره. تعتبر هذه الوسائل سلاح فتاك في تدمير العوائل فأصبح الأب يجلس طوال النهار على حاسوبه أو هاتفه الخاص والأم كذلك، يضيع الأطفال و يترعرعون بالأساليب الخاطئة على يد الخدم. علينا الإنتباه لطريقة استخدام هذه الوسائل قبل آن تحدث أي أضرار أكبر.	C1
AR-130-88375	التواصل الإجتماعي وتأثيرها على الفرد و المجتمع لكل غرض حدين ، إما ان تستعمله بالطريقة الصحيحة فتقي نفسك من الشر أو تستعمله بالطريقة الخاطئة فتقع في المصائب. التواصل الإجتماعي يكون سببا في فساد المجتمع ،و انعدام الروابط الإجتماعية. يعد تأثيد التواصل الإجتماعي على المجتمع كبير ، فبه يستطيع أن يجعل العالم كقرية صغيرة. يستطيع الإنسان أن يتواصل مع من يشاء في وقت قصير. ،يستطيع أن يسسمع بأخبار العالم بضغطة زر واحد. اما تـأثيرها علر الفرد فهو يعتمد على الفرد كيف يستعمله وبأي طريقة. إما أن يكون بالطريقة الصحيحة وهي أن يستعملها لمعرفة أخبار العالم الخارجي أو يتواصل بها مع أصدقائه و عائلاته آو يدمر نفسه باستعماله في آشياء أخرى.	B1
AR-130-88399	"جميعنا, أو أغلبيتنا, نمتلك هاتفاً و على هذه الهاتف هناك الكثير من مواقع التواصل الأجتماعي. هذه المواقع قد تجمعنا مع اقاربنا أو اصدقائنا أو الكثير من الناس حول العالم. و لكنها قد تلوث افكارنا و نزرع كره النفس, لكن يجب أن نتذكر أننا نحن الذين نمسك هذه الهواتف و نشعر بما نريد أن نشعر به. وسائل التواصل الإجتماعي احياناً تزيد الوعي عن الكوارث التي تحدث حول العالم و لكنها ايضاً تسبب الكوارث يجب أن نحافظ على امننا ولا نعطي الجميع معلومات عن حياتنا لكي نصيح مجتمع سليم علينا الحفاظ على امانتنا و على أمانات الغير."	B1
AR-130-88780	كيف تتواصل مع أصقائك و أقاربك؟ هل بكتابة رسالة ورقية وانتظار الرد عليها بعد أيام؟ هل لي أن أسألك أيضا كيف تحصل على الأخبار الجديدة؟ عن طريق قراءة الصحف كل صباح؟ بالطبع لا فكلانا نعرف الجواب الصحيح ألا وهو من خلال مواقع التواصل الاجتماعي، فقد أصبحت مواقع التواصل الاجتماعي هي الأكثر شيوعا في هذا العصر. ولكن كثرة المستخدمين لا تعني أنه ليس لها مساوئ. فمواقع التواصل الاجتماعي لها تأثير جيد وسيئ في الوقت نفسه.	B2
AR-130-89064	هل تعلم ان نسبة الأفراد الذين يستخدمون وسائل التواصل الاجتماعي بلغت ٨٥٪؟ انه رقم كبير جدا! فإن وسائل التواصل الاجتماعي له دور كبير و فعّال في المجتمع. هناك ايجابيات وسلبيات للوسائل التواصل الاجتماعي و تاثيره على الفرد و المجتمع. اصبحت وسائل التواصل الاجتماعي امر مهم جدا لجيمع الافراد وهناك من البعض لا يستغنون عنه اطلاقا، فيعتبرونه عنصر مهم في حياتهم، حيث سهلت لنا الكثير من الاشياء. هناك ايجابيات للوسائل التواصل الاجتماعي، حيث تعزز علاقات الناس و تنشر المحبة و الالفة و الترابط بينهم. و بالاضافة الوسائل التواصل الاجتماعي، مصدر للرزق لبعض من الافراد، فهناك الكثير من الحسابات عبر الانستغرام و السناب جات، يعرضون فيه منتجاتهم مثل: الاكل، الملابس، المستلزمات و الكثير من الاشياء. بالاضافة، هناك حسابات رسمية تعرض اخبار العالم فيدخلون فيه الافراد و يتصفحون منه.كما ان وسائل التواصل الاجتماعي له تاثير قوي على المجتمع فقد تساهم في تسريع عملية شراء العقارات مثلا او تساعد في نشر الاعلانات بطريقة سريعة و فعّالة لشركات كبيرة. ومن ناحية اخرى، هناك اثار سلبيات لوسائل التواصل الاجتماعي على الفرد وعلي المجتمع فمثلا، هناك بعض من الحسابات الوهمية عبر الانستقرام التي تطرح مواضيع غير لائقة للفرد مثل نشر بعض الصور او الفيديوهات للاستهزاء لبعض من المشاهير بطريقة سخرية. وهذه الحسابات تشكل الكثير من المشاكل و الحقد و الكراهية بين افراد المجتمع. في الخلاصة لا يمكننا ان نقول ان وسائل التواصل الاجتماعي اثرت بشكل سلبي او ايجابي على الفرد و المجتمع. فهناك اشياء سلبية و هناك اشياء ايجابية.	B2
AR-130-89381	على الرغم من انتشار مواقع التواصل الاجتماعي وشهرتها الا ان لها تأثير كبير على الفرد والمجتمع. اولا لها تأثير ايجابي لمساهمتها في تسهيل التواصل بيننا وسرعت الحصول على الاخبار ولها تأثير سلبي لانها تؤدي الى الادمان فنحن نقضي ساعات طويلة على اجهزتنا الذكية بدلا من الانشغال بالدراسة او قضاء وقت ممتع مع العائلة او الاصدقاء كما انها ومن وجهة نظري لم تزيد حبنا للتعلم والاكتشاف فقط بل زادت من فضولنا وحبنا لمعرفة احدث الاخبار كما انها قللت من رضا الشخص عن حياته فنحن نتتبع اخبار الاخرين وطريقة عيشهم ويومياتهم فتقل عندنا القناعة بما نملك ومن تأثيراتها السلبية ايضا هي اننا لم نعد نتواصل مع الاصدقاء او حتى العائلة كما كنا نفعل من قبل فالتواصل مع وجود وسائل التواصل الاجتماعي لا يتعدى رسالة نصية او اتصال هاتفي. على الرغم من سلبياتها الكثيرة الا انها كبقية الاشياء في حياتنا سلاح ذو حدين اذا احسنا استغلاله استفدنا منه وان اسئنا استغلاله كان له تأثير كبير علينا وعلى مجتمعاتنا.	B2
AR-130-89391	"وسائل التواصل الأجتماعي سلاح ذو حدين ، ربما تكوًن آثارها سلبية أوإيجابية ، يعتمد ذلك على استخدام الفرد و المجتمع من الآثار السلبية ان يصبح الشخص مدمناً على استخدام برامج التواصل الإجتماعي مثال على ذلك انه لا يستطيع ان يترك هاتفه لمدة خمس دقائق ، هذا يشكل خطراً كبيراً على صحة الانسان ربما يصيبه بقصر النظر و مشاكل في النوم ، لا يمنع ذلك من وجود آثار ايجابية لإستخدام وسائل التواصل الإجتماعي فهي توفرُ جهداً كبيراً في بعض الأحيان قبل وجودها كان يجب علينا ان نكتب رسائل يدوية و ننتظر بالأشهر إلى ان تصل للشخص المقصود أو المرسول إليه و ايضاً ننتظر اشهر اخرى إلى ان يصل إلينا الرد ، لكن اليوم مع وجود وسائل التواصل الحديثة نستطيع ان نرسل رسائل طويلة في دقائق معدودة و يصلنا الرد في أقل من دقيقتان ، و نستطيع ان ندير شركات و مشاريع عن طريق تطبيقات مجانية مثل ""واتس اب"" و ""انستا قرام"" ، و قد يكون تأثيرها على المجتمع تأثيراً إيجابياً قوياً و ينقذ حياة الكثير."	B2
AR-130-89415	لمواقع التواصل الاجتماعي اثر كبير في حياتنا، فهي اساس التطور. والمجتمع يتطور بتطورها	Unassessable
AR-130-89587	"وسائل التواصل الاجتماعي وتأثيرها على الفرد والمجتمع. تقدمت التكنولوجيا كثيرا في الأعوام السابقة، فأصبح أكثر الناس يتواصلون عبر وسائل التواصل ، و أصبحوا الناس يعتمدون على الوسائل الاجتماعية فلا يمكن أن يمر يوما واحدا دون استخدامها لبعض الأشخاص. الوسائل الاجتماعية أثرت بشكل جيد و سيئ على المجتمع. وسائل التواصل الاجتماعي سهل الكثير من الأمور في الحياة فيمكننا أن نتواصل بشكل سريع مع الناس، و أن نطمئن عليهم إذا حدث مشكلة ما، و أيضا أثر الوسائل الاجتماعي على المشاريع بشكل جيد فإن الكثير من المشاريع ينشرون الدعايات عبر الوصائل الاجتماعية دون أن يدفعون مبلغا غاليا. إن الوسائل الاجتماعية أثرت بشكل سلبي أيضا على المجتمع، فالكبار و المراهقين وأيضا الأطفال أصبحوا مدمنين بسبب كثرة استخدام وسائل التواصل الاجتماعي، فلا يمكنهم التخلى عن هواتفهم لساعات قليلة. أثر التكنولوجيا على الأطفال كثيرا فعندما تزور أحد أقاربك ترى أن جميع الأطفال يلبون بالآيباد ولا يعرفون معنى الطفولة، و أيضا هناك الثير من الألعاب المدمنة حاليا منهما ""فورتنايت"" و ""بب جي"" وليس فقط الصغار يلعبونها ولكن أصبحوا الكبار يلعبونها أيضا . إن الوسائل الإجتماعة أثرت على المجتمع بشكل جيد و لكن أثر على المجتمع بشكل سلبي أكثر ففي هذا الجيل لا يمكنك أن تخرج الا لو كان هاتقك المحمول معك. يجب أن نتذكر أن التواصل الاجتماعي ليس كل شيء في الحياة."	B1
AR-130-89591	"تعِتبر وسائل التواصل الاجتماعي سلاح ذو حدين, يختلف استخدام هذه المواقع من شخص الى آخر, تُستخدم هذه المواقع في مختلف الاشياء و من قبل مختلف الاعمار , يتنوع تأثير مواقع التواصل الاجتماعي من فرد الى آخر. تتنوع وسائل التواصيل الاجتماعي و برامجها , فمنها الاستخدامات الايجابية و منها الاستخدامات السلبية , يستفيد منها البعض و البعض الآخر ينخدع فيها , يستطيع الاشخاص الاستفادة من المعلومات الموجودة و تؤدي هذه المعلومات لتغذية العقل و تنميته, و لكن في الطرف الآخر قد تكون هذه المعلومات لا صحة لها , يمكن لبعض الاشخاص تقضية اوقاتهم في مواقع التواصل الاجتماعي وهذا في بعض الاحيانامر غير جيد , من الممكن استغلال الكثير من الوقت في فعل اشياء اكثر فائدة مثل : قراءة بعض الكتب , الجلوس مع العائلة و عمل بعض الاعمال المنزلية مسؤولية مواقع التواصل تقع على الفرد نفسه , يمكن للشخص ان يحدد اما ان يستفيد او يقع في الخطأ."	B1
AR-130-89653	أن التواصل الأجتماعي من اهم عاداتنا اليوميه حيث يستخدم المراهقين جميع المواقع التوصل يومياً للتواصل معا الزملاء حيث اصبحت المكالمات الهاتفيه اقل اللأهميه لهذا الجيل. الوسائل الأجتماعيه لها اهميتها و خطورتها حيث انهُ المكان المركزي للنقد للأفراد و التشمت بالأخرين لاكن قد يستخدم الناس التواصل الأجتماعي للأسباب مختلفه مثل صفحه لتعليم اللغات المختلفه او صفحات لعرض أشغالهم و ايضاً لتشهير المنتجات و اعمالهم. قد يستخدم الطلاب التواصل الأجتماعي من طرف التعلم والبحث عن المساعده في حل واجباتهم من برامج مختلفه و ايضاً من الأصدقاء. استخدام التوصل الأجتماعي سهل على جميع افراد المجتمع حيث هناك الكثير من المواقع للتواصل معا الأصدقاء و أيضاً للتعرف على اصدقاء جدد. من البرامج التي توفر طرق للتواصل هن السنابجات ، الأنستغرام و تويتر و ايضاً الواتساب. استخدام التواصل الأجتماعي و من اسرع الطرق للتواصل في هذا الزمن وايضاً من اسهل طرق الذي الكل قد يتعلم عليها من دونا اي صعوبه تماماً.	B1
AR-130-89674	هل يمكنكم العيش بدون برامج التواصل الاجتماعي ؟ انه من الصعب جدا وغيره انه يأثر كثيرا على حياة الانسان الاجتماعية والصحية في الحياة الاجتماعية تأثيرها يفكك العائلة و يجعل جميع اناس متوحدين لايحبون التكلم مع احد وانه يأثر بشكل غير طبيعي على المراهقين كما انه يجعاهم غير قابلين على التكلم وتواصل مع الناس في الحياة الحقيقية و في الحياة الصحية فإنه الاجهزة التي تستعمل لبرامج تواصل الاجتماعي تؤثر على جسم الانسان وعقله و عيونه بسبب الاشعاعات التي تخرج منه كماانه يقلل او يمنع بعض الخلايا من تأدية و ضائفها كما انه يسبب الا سهر و سواد تحت العين و ضعف النظر و سد الشهية -السموحة استاذ و انا اكتب مرتين و انا على وشك النهاية انمسح كامل ف مااقدر اكتب بعد	B1
